0,
1987_1,Connectivity Versus Entropy
1987_2,Stochastic Learning Networks and their Electronic Implementation
1987_3,Learning on a General Network
1987_4,An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification
1987_5,On Properties of Networks of Neuron-Like Elements
1987_6,Supervised Learning of Probability Distributions by Neural Networks
1987_7,Centric Models of the Orientation Map in Primary Visual Cortex 
1987_8,Analysis and Comparison of Different Learning Algorithms for Pattern Association Problems
1987_9,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons
1987_10,Optimal Neural Spike Classification
1987_11,"Neural Networks for Template Matching: Application to Real-Time Classification of the Action Potentials of Real Neurons James M. Bower, Yiu-Fai Wong, Jashojiban Banik"
1987_12,"A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information James M. Bower, Matthew A. Wilson"
1987_13,Neural Network Implementation Approaches for the Connection Machine Nathan H. Brown Jr.
1987_14,"On the Power of Neural Networks for Solving Hard Problems Jehoshua Bruck, Joseph W. Goodman"
1987_15,Speech Recognition Experiments with Perceptrons David J. Burr
1987_16,Presynaptic Neural Information Processing L. Richard Carley
1987_17,"Mathematical Analysis of Learning Behavior of Neuronal Models John Y. Cheung, Massoud Omidvar"
1987_18,"A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY Tzi-Dar Chiueh, Rodney Goodman"
1987_19,The Capacity of the Kanerva Associative Memory is Exponential Philip A. Chou
1987_20,Phase Transitions in Neural Networks Joshua Chover
1987_21,"New Hardware for Massive Neural Networks Darryl D. Coon, A. G. Unil Perera"
1987_22,"HIGH DENSITY ASSOCIATIVE MEMORIES Amir Dembo, Ofer Zeitouni"
1987_23,"Network Generality, Training Required, and Precision Required John S. Denker, Ben S. Wittner"
1987_24,"Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons Mark Derthick, Joe Tebelskis"
1987_25,"High Order Neural Networks for Efficient Associative Memory Design Gérard Dreyfus, Isabelle Guyon, Jean-Pierre Nadal, Léon Personnaz"
1987_26,The Sigmoid Nonlinearity in Prepyriform Cortex Frank H. Eeckman
1987_27,"Hierarchical Learning Control - An Approach with Neuron-Like Associative Memories Enis Ersü, Henning Tolle"
1987_28,On Tropistic Processing and Its Applications Manuel F. Fernández
1987_29,Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons Eberhard E. Fetz
1987_30,The Hopfield Model with Multi-Level Neurons Michael Fleisher
1987_31,Cycles: A Simulation Tool for Studying Cyclic Neural Networks Michael T. Gately
1987_32,Temporal Patterns of Activity in Neural Networks Paolo Gaudiano
1987_33,"Encoding Geometric Invariances in Higher-Order Neural Networks C. Lee Giles, R. D. Griffin, T. Maxwell"
1987_34,Probabilistic Characterization of Neural Model Computations Richard M. Golden
1987_35,"PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK Richard Granger, Jose Ambros-Ingerson, Howard Henry, Gary Lynch"
1987_36,The Connectivity Analysis of Simple Association Dan Hammerstrom
1987_37,"Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals Stephen Jose Hanson, David J. Burr"
1987_38,"Learning Representations by Recirculation Geoffrey E. Hinton, James L. McClelland"
